"","Time","pp","pp_nr2"
"115",114,"0.00424921153379338","0.00437876733727554"
"116",115,"0.00454856402939186","0.00439771447510323"
"117",116,"0.00413772798492573","0.0044145215826695"
"118",117,"0.0051776971668005","0.00459345981896808"
"119",118,"0.00513396867817002","0.00459775732699031"
"120",119,"0.00392433654633351","0.0043402525925812"
"121",120,"0.00398094004153141","0.00417779661999973"
"122",121,"0.0040139340950797","0.00413954860443423"
"123",122,"0.00411481270566583","0.00415079740655982"
"124",123,"0.00419041680288501","0.00424231997489895"
"125",124,"0.00445169998731996","0.00432966650416979"
"126",125,"0.00418283164617606","0.00428123704238669"
"127",126,"0.00382040254771709","0.00423736178492806"
"128",127,"0.00475185411050916","0.0043244241459131"
"129",128,"0.00435766507871449","0.00431721211939573"
"130",129,"0.00421774560319526","0.00439059055793105"
"131",130,"0.0046179628407117","0.0045726357579574"
"132",131,"0.00461520015129021","0.00477756541481912"
"133",132,"0.00606287969276309","0.00507981176689138"
"134",133,"0.00583791187299149","0.00519085970173617"
"135",134,"0.00480774906463921","0.00493917101401418"
"136",135,"0.00475386859449957","0.00480529255057189"
"137",136,"0.00415519584203139","0.00466999522616827"
"138",137,"0.00520811708910125","0.00480981879092464"
"139",138,"0.00507639616262168","0.00488373890644721"
"140",139,"0.00467447297913688","0.00480796259503046"
"141",140,"0.00438841053983197","0.00475625645972149"
"142",141,"0.00570063698770744","0.00481659769756863"
"143",142,"0.00465868826722726","0.0046961458853076"
"144",143,"0.00413282165702965","0.00454876243798072"
"145",144,"0.00441111603868194","0.0046274889190574"
"146",145,"0.00467184807972184","0.00481319611263488"
"147",146,"0.0059915246674791","0.00501799744498463"
"148",147,"0.00527480244636536","0.00503206702178845"
"149",148,"0.00457259302493185","0.00495954102972458"
"150",149,"0.005666339038206","0.00490358266026189"
"151",150,"0.00463352739461698","0.00478873443055752"
"152",151,"0.00434511600594435","0.004725397819117"
"153",152,"0.00494404649361968","0.00479507810404052"
"154",153,"0.00480573028991265","0.00488922007067311"
"155",154,"0.00489492272026837","0.00499852782197219"
"156",155,"0.00551985914353281","0.00519527405000525"
"157",156,"0.00499853788642213","0.00523593971882753"
"158",157,"0.00533265101590327","0.0053892048674929"
"159",158,"0.00572120444849133","0.00562130020735705"
"160",159,"0.0062581729143858","0.00588825327275772"
"161",160,"0.00687241984996945","0.00609852300632141"
"162",161,"0.00756931737331407","0.00621116848772227"
"163",162,"0.00813758854443828","0.00607519649071279"
"164",163,"0.00429393135709688","0.00531025339768174"
"165",164,"0.00436127410891155","0.00476377820234722"
"166",165,"0.0055629862472415","0.0048047268652995"
"167",166,"0.00527724335552193","0.00481344053747936"
"168",167,"0.00431574920990637","0.00441175719218174"
"169",168,"0.00379290894488804","0.00416508375328553"
"170",169,"0.00414474544647549","0.00408847882011061"
"171",170,"0.00365524971857667","0.00403936853541138"
"172",171,"0.00419304273756487","0.00409424638077295"
"173",172,"0.0041925739205908","0.00411260635127183"
"174",173,"0.00333466724727519","0.00402990029966075"
"175",174,"0.0038489839353133","0.0039132366498416"
"176",175,"0.00355410359666816","0.00384845422240979"
"177",176,"0.00388496488449164","0.00386808102778778"
"178",177,"0.00365923283970915","0.00380088742447166"
